Слово,Орфоэпическая транскрипция,Слово с ударением
одних,* a1 d n' / i0 h,одни0х
одновременно,* a1 d n = a1 * v r' e0 m' + i4 n + a4,одновре0менно
одной,* a1 d n / o0 -,одно0й
одном,* a1 d n / o0 m,одно0м
однообразного,* a1 d n = a2 * a1 b r a0 z + n / a4 v a4,однообра0зного
односторонняя,* a1 d n = a2 * s t a1 r o0 + n' / a4 j a4,односторо0нняя
одноэтажных,* a1 d n = a2 * i1 t a0 zh + n / y4 h,одноэта0жных
одолжил,~ a1 * d a1 l zh + y0 + l,одолжи0л
одолжить,~ a1 * d a1 l zh + y0 / t',одолжи0ть
одурманенный,~ a1 * d u1 r m a0 n' + i4 n / y4 j,одурма0ненный
одышкой,~ a1 * d y0 sh + k / a4 j,оды0шкой
ожидал,~ a1 * zh y1 d + a0 + l,ожида0л
ожидание,~ a1 * zh y1 d + a0 + n' i4 j / i4,ожида0ние
ожили,~ o0 * zh y4 + l' / i4,о0жили
озабочена,~ a1 * z a1 b o0 ch + i4 n / a4,озабо0чена
озера,* o0 z' i4 r / a4,о0зера
озеро,* o0 z' i4 r / a4,о0зеро
озлобления,~ a1 * z l a1 b l' + e0 n' i4 j / a4,озлобле0ния
означал,~ a1 * z n a1 ch + a0 + l,означа0л
означало,~ a1 * z n a1 ch + a0 + l / a4,означа0ло
ой,* o0 j,о0й
окажутся,~ a1 * k a0 zh / u4 ^ c a4,ока0жутся
оказавшееся,~ a1 * k a1 z + a0 + f sh / i4 j i4 ^ s' a4,оказа0вшееся
оказалась,~ a1 * k a1 z + a0 + l / a4 ^ s',оказа0лась
оказалось,~ - * k a1 z + a0 + l / a4 ^ s',ока0залось
оказался,~ a1 * k a1 z + a0 + l ^ s' a4,оказа0лся
оказывается,~ a1 * k a0 z + y4 v a4 / j i4 ^ c a4,ока0зывается
оказывались,~ a1 * k a0 z + y4 v a4 + l' / i4 ^ s',ока0зывались
окна,* o0 k + n / a4,о0кна
окнами,* o0 k + n / a4 m' i4,о0кнами
окном,* a1 k + n / o0 m,окно0м
около,* o0 k a4 l a4,о0коло
оконном,* a1 k o0 n + - / a4 m,око0нном
окончательная,~ a1 * k a1 n' ch + a0 + t' i4 l' n / a4 - a4,оконча0тельная
окончательно,~ a1 * k a1 n ch + a0 + t' i4 l' n + a4,оконча0тельно
окончившего,~ a1 * k o0 n' ch + i4 + f sh / y4 v a4,око0нчившего
окончивших,~ a1 * k o0 n' ch + i4 + f sh / y4 h,око0нчивших
окончил,~ a1 * k o0 n' ch + i4 + l,око0нчил
окончился,~ a1 * k o0 n' ch + i4 + l ^ s' a4,око0нчился
окостеневшей,~ a1 * k a2 s t' + i1 n' + e0 + f sh / a4 j,окостене0вшей
окраинами,~ a1 * k r a0 + i4 n / a4 m' i4,окра0инами
окружают,~ a1 * k r u1 zh + a0 / j u4 t,окружа0ют
окутанный,~ a1 * k u0 t + a4 + n / y4 j,оку0танный
олукьянилось,~ a1 * l u1 k' j a0 n' + i4 + l / a4 ^ s',олукья0нилось
олукьянился,~ a1 * l u1 k' j a0 n' + i4 + l ^ s' a4,олукья0нился
он,* o0 -,о0н
он-то,* o0 n + t a4,о0н-то
онегина,~ a1 * n' e0 g' + i4 n / a4,оне0гина
опасно,* a1 p a0 s + n + a4,опа0сно
опасность,~ a1 * p a0 s + n + a4 s' t',опа0сность
опель,* o0 p' i4 l',о0пель
опеля,* a4 v a4 o0 / p',опеля0
опер,* o0 p' i4 r,о0пер
операцию,* a1 p' i1 r a0 c + y4 j / u4,опера0цию
опершись,~ a1 * p' i1 r + sh + y0 ^ s',оперши0сь
оперы,* o0 p' i4 r / y4,о0перы
оповещали,~ a1 ~ p a2 * v' i1 sc + a0 + l' / i4,оповеща0ли
опоздаем,~ a1 * p a1 z d + a0 / j i4 m,опозда0ем
опоздает,~ a1 * p a1 z d + a0 / j i4 t,опозда0ет
оправдание,~ a1 * p r a1 v d + a0 + n' i4 - / i4,оправда0ние
определенное,* a1 p r' i1 d' i1 l' + o0 n / a4 j i4,определе0нное
определить,~ a1 ~ p r' i1 * d' i1 l' + i0 / c,определи0ть
опрокинул,~ a1 ~ p r a1 * k' i0 + n u4 + l,опроки0нул
опрометью,* o0 p r a4 m' i4 t' / j u4,о0прометью
оптимизма,* a1 p t' i1 m' + i0 z m / a4,оптими0зма
оптимизмом,* a1 p t' i1 m' + i0 z m / a4 m,оптими0змом
опустив,~ a1 * p u1 s' t' + i0 + v,опусти0в
опытнейший,* o0 p y4 t + n' + i4 j sh / y4 j,о0пытнейший
опытом,* o0 p y4 t / a4 m,о0пытом
опять,* - p' a0 t',о0пять
оравы,* a1 r a0 v / y4,ора0вы
орал,* a1 r + a0 + l,ора0л
орать,* a1 r + a0 / t',ора0ть
организовать,* a1 r g a2 n' + i1 z + a1 v a0 / t',организова0ть
ордер,* o0 r d' i4 r,о0рдер
оружие,* a1 r u0 zh y4 / - i4,ору0жие
оружия,* a1 r u0 zh y4 / j a4,ору0жия
освободил,~ a1 * s v a2 b a1 d' + i0 + l,освободи0л
осенило,~ a1 * s' i1 n' + i0 + l / a4,осени0ло
осенний,* a1 s' e0 n' + - / i4 -,осе0нний
осенняя,* a1 s' e0 + n' / i4 j a4,осе0нняя
осенью,* o0 s' i4 n' / j u4,о0сенью
осеняет,~ a1 * s' i1 n' + a0 / - i4 t,осеня0ет
оскорблений,~ a1 * s k a1 r b + l' + e0 n' i4 j,оскорбле0ний
оскорблениями,~ a1 * s k a1 r b + l' + e0 n' i4 j / i4 m' i4,оскорбле0ниями
ослаблением,~ a1 * s l a1 b l' + e0 n' i4 j / i4 m,ослабле0нием
ослабнет,~ a1 * s l a0 b + n' / i4 t,осла0бнет
оснований,* a1 s n a1 v / a0 n' i4 j,основа0ний
особенно,~ a1 * s o0 b' + i4 n / a4,осо0бенно
особенного,~ a1 * s o0 b' + i4 n / a4 v a4,осо0бенного
особенное,~ a1 * s o0 b' + i4 n / a4 j i4,осо0бенное
особенному,* a1 s o0 b + i4 n / a4 m u4,осо0бенному
особому,* a1 s o0 b / a4 m u4,осо0бому
особую,~ a1 * s o0 b / u4 j u4,осо0бую
особый,* a1 s o0 b / y4 j,осо0бый
осознавать,~ a2 ~ s a2 * z n a1 + v a0 / t',осознава0ть
осознал,~ a1 ~ s a1 * z n a0 + l,осозна0л
оставались,~ a1 * s t a1 v + a0 + l' / i4 ^ s',остава0лись
оставался,~ a1 * s t a1 v + a0 + l ^ s' a4,остава0лся
оставил,~ a1 * s t a0 v' + i4 + l,оста0вил
оставить,~ a1 * s t a0 + v' + i4 / t',оста0вить
оставишь,~ a1 * s t + a0 v' / i4 sh,оста0вишь
оставляем,~ a1 * s t a1 v + l' + a0 / j i4 m,оставля0ем
оставляет,~ a1 * s t a1 v + l' + a0 / - i4 d,оставля0ет
оставляешь,~ a1 * s t + a1 v + l' + a0 / - i4 sh,оставля0ешь
остается,~ a1 * s t a1 / j o0 ^ c a4,остае0тся
осталась,~ a1 * s t + a0 + l / a4 ^ s',оста0лась
остались,~ a1 * s t + a0 + l' / i4 ^ z',оста0лись
осталось,~ a1 * s t + a0 + l / a4 ^ s',оста0лось
остался,~ a1 * s t a0 + l ^ s' a4,оста0лся
остальное,~ a1 * s t + a1 + l' + n / o0 j i4,остально0е
остальном,~ a1 * s t a1 + l' + n / o0 m,остально0м
останавливалась,~ a1 * s t a1 + n + a0 v + l' i4 v a4 + l / a4 ^ s',остана0вливалась
останешься,~ a1 * s t a0 + n' / i4 sh ^ s' a4,оста0нешься
остановил,~ a1 * s t a2 + n + a1 v' + i0 + l,останови0л
остановилось,~ a1 * s t a2 + n + a1 v' + i0 + l / a4 ^ s',останови0лось
остановился,~ a1 * s t a2 + n + a1 v' + i0 + l ^ s' a4,останови0лся
остановится,~ a1 * s t a1 + n + o0 v' / i4 c ^ - a4,остано0вится
остановка,~ a1 * s t a1 + n + o0 f + k / a4,остано0вка
остановке,~ a1 * s t a1 + n + o0 f + k' / e4,остано0вке
остановки,~ a1 * s t a1 + n + o0 f + k' / i4,остано0вки
остановку,~ a1 * s t a1 + n + o0 f + k / u4,остано0вку
остановлюсь,~ a1 * s t a2 + n + a1 v + l' / u0 ^ s',остановлю0сь
останусь,~ a1 * s t a0 + n u4 ^ s',оста0нусь
остаться,~ a1 * s t a0 ^ c a4,оста0ться
осторожно,~ a1 * s t a1 r o0 zh + n + a4,осторо0жно
осторожностью,~ a1 * s t a1 r o0 zh + n + a4 s' t' / j u4,осторо0жностью
острейшим,* a1 s t r' + e0 j sh / y4 m,остре0йшим
остро,* o0 s t r / a4,о0стро
острые,* o0 s t r / y4 j i4,о0стрые
остывающий,~ a1 * s t y1 + v a0 j + u4 sc / i4 j,остыва0ющий
осушил,~ a1 * s u1 sh + y0 + l,осуши0л
отбивалась,~ a1 d * b' i1 + v a0 + l / a4 ^ s',отбива0лась
отбирать,~ a1 d * b' i1 r + a0 / t',отбира0ть
отблагодарить,~ a1 d * b l a2 g = a2 * d a1 r' + i0 / t',отблагодари0ть
отвезли,~ v' i1 * z l' i0 + v / b,отве0зли
отвернувшись,~ a1 t * v' i1 r + n u0 + f sh / y4 ^ s',отверну0вшись
ответ,* a1 t v' e0 t,отве0т
ответа,* a1 t v' e0 t / a4,отве0та
ответил,~ a1 t * v' e0 t' + i4 + l,отве0тил
ответила,~ a1 t * v' e0 t' + i4 + l / a4,отве0тила
ответит,~ a1 t * v' e0 t' / i4 d,отве0тит
ответить,~ a1 t * v' e0 t' + i4 / t',отве0тить
ответствовала,~ a1 t * v' e0 + c t v + a4 v a4 + l / a4,отве0тствовала
ответу,* a1 t v' e0 t / u4,отве0ту
отвечает,* a1 t v' i1 ch + a0 / j i4 t,отвеча0ет
отвечал,~ a1 t * v' i1 ch + a0 + l,отвеча0л
отвечала,~ a1 t * v' i1 ch + a0 + l / a4,отвеча0ла
отвечать,~ a1 t * v' i1 ch + a0 / c,отвеча0ть
отвечают,~ a1 t * v' i1 ch + a0 / j u4 -,отвеча0ют
отвлекать,~ a1 t * v l' i1 k + a0 / t',отвлека0ть
отвлеклись,~ a1 t * v l' i1 k + l' / i0 ^ s',отвлекли0сь
отворил,~ a1 * t v a1 r' + i0 + l,отвори0л
отвратительна,~ a1 t * v r a1 t' + i0 + t' i4 l' + n / a4,отврати0тельна
отвратительнее,* a1 t v r a1 t' + i0 + t' i4 l' n' + i4 j i4,отврати0тельнее
отвратительной,~ a1 t * v r a1 t' + i0 + t' i4 l' + n / a4 j,отврати0тельной
отговаривать,~ a1 d * g a1 v a0 r' + i4 v a4 / d',отгова0ривать
отгул,~ a1 d * g u0 l,отгу0л
отдаленных,~ a1 * d a1 l' + o0 n / y4 h,отдале0нных
отдел,~ a1 d' * - e0 l,отде0л
отделе,~ - d' * d' e0 l' / i4,о0тделе
отделов,~ a1 * d' e0 l / a4 f,отде0лов
отдельная,~ a1 * d' e0 l' + n / a4 j a4,отде0льная
отдельно,~ a1 * d' e0 l' + n + a4,отде0льно
отдельном,~ a1 * d' e0 l' + n / a4 m,отде0льном
отдельности,~ a1 * d' d' e0 + l' + n a4 s' / t',отде0льности
отдельную,~ a1 d' * - e0 l' + n / u4 - u4,отде0льную
отдельные,~ a1 * d' e0 l' + n / y4 j i4,отде0льные
отделял,~ a1 * d' i1 l' + a0 + l,отделя0л
отдохнуть,~ a1 * d a1 h + n u0 / t',отдохну0ть
отдых,~ o0 * d y4 h,о0тдых
отдыха,~ o0 * d y4 h a4,о0тдыха
отдыхе,~ o0 * d y4 h' i4,о0тдыхе
отдышался,~ a1 * d y1 sh + a0 + l ^ s' a4,отдыша0лся
отец,* a1 t' e0 c,оте0ц
откажемся,~ a1 t * k a0 zh / y4 m ^ s' a4,отка0жемся
откажет,~ a1 t * k a0 zh / y4 t,отка0жет
отказ,~ a1 t * k a0 s,отка0з
отказался,~ a1 t * k a1 z + a0 + l ^ s' a4,отказа0лся
отказом,~ a1 t * k a0 z / a4 m,отка0зом
отказывалась,~ a1 t * k a0 z + y4 v a4 + l / a4 ^ s',отка0зывалась
отказывать,~ a1 t * k a0 z + y4 v\a4 t',отка0зывать
отказываются,~ a1 t * k a0 z + y4 v a4 / j u4 ^ c a4,отка0зываются
откачки,~ a1 t * k a0 ch + k' / i4,отка0чки
откинув,~ a1 t * k' i0 + n u4 + f,отки0нув
откликаются,~ a1 t * k l' i1 k + a0 / j u4 ^ c a4,отклика0ются
откликнулся,~ a1 t * k l' i0 k + n u4 + l ^ s' a4,откли0кнулся
откос,~ a1 t * k o0 s,отко0с
открыв,~ a1 t * k r y0 + f,откры0в
открывалась,~ a1 t * k r y1 v + a0 + l / a4 ^ s',открыва0лась
открывались,~ a1 t * k r y1 + v a0 + l' / i4 ^ s',открыва0лись
открывать,~ a1 t * k r y1 + v a0 / d',открыва0ть
открывшуюся,~ a1 t * k r y0 + f sh / u4 j u4 ^ s' a4,откры0вшуюся
открыл,~ a1 t * k r y0 + l,откры0л
открыла,~ a1 t * k r y0 + l\a4,откры0ла
открыта,~ a1 t * k r y0 + t / a4,откры0та
открытия,~ a1 t * k r y0 + t' + i4 j + a4,откры0тия
открыто,~ a1 t * k r y0 + t / a4,откры0то
открытой,~ a1 t * k r y0 + t / a4 j,откры0той
открыть,~ a1 t * k r y0 / d',откры0ть
откуда,~ a1 t * k u0 d a4,отку0да
откуда-нибудь,~ a1 t * k u0 d a4 + n' i4 b u4 t',отку0да-нибудь
откуда-то,~ a1 t * k u0 d a4 + t a4,отку0да-то
отлив,~ a1 t * l' i0 + v,отли0в
отличала,~ a1 t * l' i1 ch + a0 + l / a4,отлича0ла
отличить,~ a1 t * l' i1 ch + i0 / t',отличи0ть
отличная,~ a1 t * l' i0 ch + n / a4 j a4,отли0чная
отличницы,~ a1 t * l' i0 ch + n' + i4 c / y4,отли0чницы
отлично,~ a1 t * l' i0 ch + n + a4,отли0чно
отличной,~ a1 t * l' i0 ch + n / a4 j,отли0чной
отличные,~ a1 t * l' i0 ch + n / y4 j i4,отли0чные
отличный,~ a1 t * l' i0 ch + n / y4 j,отли0чный
отложены,~ a1 t * l o0 zh + y4 n / y4,отло0жены
отложил,~ a1 t * l a1 zh + y0 + l,отложи0л
отметки,~ a1 t * m' e0 t + k' / i4,отме0тки
отмечал,~ a1 t * m' i1 ch + a0 + l,отмеча0л
отнекиваться,~ a1 t * n' e0 + k' + i4 v a4 ^ c a4,отне0киваться
отнимая,~ a1 t * n' i1 m + a0 + j a4,отнима0я
относилась,~ a1 t * n a1 s' + i0 + l / a4 ^ s',относи0лась
относились,~ a1 t * n a1 s' + i0 + l' + i4 ^ s',относи0лись
относится,~ a1 t * n o0 s' / i4 ^ c a4,отно0сится
относиться,~ a1 t * n a1 s' + i0 ^ c a4,относи0ться
отношении,~ a1 t * n a1 sh + e0 n' i4 / i4,отноше0нии
отношений,~ a1 t * n a1 sh + e0 n' i4 j,отноше0ний
отношения,~ a1 t * n a1 sh + e0 n' - j / a4,отноше0ния
отношениях,~ a1 t * n a1 sh + e0 n' i4 - / i4 h,отноше0ниях
отношусь,~ a1 t * n a1 sh / u0 ^ s',отношу0сь
отодвинул,~ a1 t a1 * d v' i0 + n u4 + l,отодви0нул
отодвинулась,~ a1 t a1 * d v' i0 + n u4 + l / a4 ^ s',отодви0нулась
отойдет,~ a1 t a1 * j d' / o0 t,отойде0т
отомкнул,~ a1 t a1 * m k + n u0 + l,отомкну0л
отпадает,~ a1 t * p a1 d + a0 / j i4 t,отпада0ет
отпали,~ a1 t * p a0 + l' / i4,отпа0ли
отпечаталась,~ a1 t * p' i1 ch a0 t + a4 + l / a4 ^ s',отпеча0талась
отпечатывалось,~ a1 t * p' i1 ch a0 t + y4 v a4 + l / a4 ^ s',отпеча0тывалось
отпирает,~ a1 t * p' i1 r + a0 / j i4 t,отпира0ет
отплывавший,~ a1 t * p l y1 v + a0 + f sh / y4 j,отплыва0вший
отправили,~ a1 t * p r a0 v' + i4 + l' / i4,отпра0вили
отправился,~ a1 t * p r a0 v' + i4 + l ^ s' a4,отпра0вился
отправить,~ a1 t * p r a0 v' + i4 / t',отпра0вить
отправиться,~ a1 t * p r a0 v' + i4 ^ c a4,отпра0виться
отпросилась,~ a1 t * p r a1 s' + i0 + l / a4 ^ s',отпроси0лась
отпускал,~ a1 t * p u1 s k + a0 + l,отпуска0л
отраженным,~ a1 t * r a1 zh + o0 n - / y4 m,отраже0нным
отрывисто,~ a1 t * r y0 v' + i4 s t + a4,отры0висто
отрывочно,~ a1 t * r y0 v + a4 ch + n + a4,отры0вочно
отряхивался,~ a1 t * r' a0 h' + i4 v a4 + l ^ s' a4,отря0хивался
отряхнув,~ a1 * t r' i1 h + n u0 + f,отряхну0в
отстаивал,~ a1 * c t a0 + i4 v a4 + l,отста0ивал
отсутствие,~ a1 * c s u0 + c t v' / i4 j i4,отсу0тствие
отсутствии,~ a1 c * c u0 + c t v' + i4 / i4,отсу0тствии
отсюда,~ a1 c * s' u0 d a4,отсю0да
оттуда,~ a1 t * - u0 d a4,отту0да
оттягивал,~ a1 * t' a0 g' + i4 v a4 + l,оття0гивал
отужинали,~ a1 t * u0 zh y4 n + a4 + l' / i4,оту0жинали
отходившем,~ a1 t * h a1 d' + i0 + f sh / y4 m,отходи0вшем
отцовский,* a1 c o0 + f + s k' / i4 j,отцо0вский
отцом,* a1 c / c o0,отцо0м
отчаянная,* a1 ch a0 + j i4 + n / a4 j a4,отча0янная
отчаянья,* a1 ch - a0 - + i4 + n' i4 / e4,отча0янья
отчеканились,~ a1 * ch ch i1 k a0 + n' + i4 / l' ^ i4,отчека0нились
отчесала,~ a1 * ch i1 s + a0 + l / a4,отчеса0ла
отчество,* o0 ch + i4 s t v / a4,о0тчество
отчеству,* o0 ch + i4 s t / v,о0тчеству
отчетливо,~ a1 * ch o0 t + l' i4 v + a4,отче0тливо
отчетливый,~ a1 * ch o0 t + l' i4 v / y4 j,отче0тливый
отчитает,~ a1 * ch i1 t + a0 / j i4 t,отчита0ет
отчитывает,~ a1 * ch i0 t + y4 v a4 / j i4 t,отчи0тывает
отъезд,~ a1 t * j e0 s t,отъе0зд
отъезда,~ a1 t * j e0 z d / a4,отъе0зда
отъездом,~ a1 t * j e0 z d / a4 m,отъе0здом
отыскал,~ a1 t * y1 s k + a0 + l,отыска0л
отыщет,~ a1 t * y0 sc / i4 t,оты0щет
оформить,~ a1 * f o0 r m' + i4 / t',офо0рмить
охваченный,* h v a0 ch + i4 n - / y4 j -,о0хваченный
охладел,~ a1 * h l a1 d' + e0 + l,охладе0л
охладею,~ a1 * h l a1 d' + e0 / j u4,охладе0ю
охота,~ a1 * h o0 t / a4,охо0та
охотой,~ a1 * h o0 t / a4 j,охо0той
оцепенение,~ a1 * c y1 p' + i1 n' + e0 + n' i4 j / i4,оцепене0ние
очень,* o0 - - -,о0чень
очереди,~ o0 * ch i4 r' i4 d' / i4,о0череди
очередь,~ o0 * ch i4 r' i4 c,о0чередь
очиненный,~ a1 * ch i0 n' + i4 n / y4 j,очи0ненный
очистили,~ a1 * ch i0 s' t' + i4 + l' / i4,очи0стили
очистки,~ a1 * ch i0 s t + k' / i4,очи0стки
очках,* a1 ch + k / a0 h,очка0х
очков,* a1 ch + k / o0 f,очко0в
очутились,* a1 ch u1 t' + i0 + l' / i4 ^ s',очути0лись
ошеломила,~ a1 * sh e1 l a1 m' + i0 + l / a4,ошеломи0ла
ошибаюсь,~ a1 * sh y1 b + a0 j / u4 ^ s',ошиба0юсь
ошибки,~ a1 * sh y0 p + k' / i4,оши0бки
ощупь,~ o0 * sc u4 p',о0щупь
ощутил,~ a1 * sc u1 t' + i0 + l,ощути0л
ощущая,~ a1 * sc u1 sc + a0 j / a4,ощуща0я
павлинове,* p a1 v l' i0 n + a4 v' / i4,павли0нове
павлиново,* p a1 v l' i0 n + a4 v / a4,павли0ново
павлиновской,* p a1 v l' i0 n + a4 f + s k / a4 j,павли0новской
падавшего,* p a0 d + a4 + f sh / y4 v a4,па0давшего
падал,* p a0 d + a4 + l,па0дал
палатке,* - a1 l a0 t + k' / i4,пала0тке
палец,* p a0 l' + i4 c,па0лец
палка,* p a0 l + k / a4,па0лка
палку,* p a0 l + k / u4,па0лку
пальца,* p a0 l' + c / a4,па0льца
пальцами,* p a0 l' + c / a4 m' i4,па0льцами
пальцем,* p a0 l' + c / y4 m,па0льцем
пальцы,* p a0 l' + c / y4,па0льцы
памяти,* p a0 m' i4 t' / i4,па0мяти
памятку,* p a0 m' i4 t + k / u4,па0мятку
память,* p a0 m' i4 t',па0мять
памятью,* p a0 m' i4 t' / j u4,па0мятью
папа,* p a0 p / a4,па0па
папиросками,* p a2 p' i1 r o0 s + k / a4 m' i4,папиро0сками
папки,* p a0 p + k' / i4,па0пки
папой,* p a0 p / a4 j,па0пой
папу,* p a0 p / u4,па0пу
папы,* p a0 p / y4,па0пы
пара,* p a0 r / a4,па0ра
парадном,* p a1 r a0 d + n / a4 m,пара0дном
парень,* p a0 r' + i4 n',па0рень
парк,* p a0 r k,па0рк
парке,* p a0 r k' / i4,па0рке
паркет,* p a1 r k' e0 t,парке0т
парня,* p a0 r + n' / a4,па0рня
парочками,* p a0 r + a4 ch k / a4 m' i4,па0рочками
партизан,* p a2 r t' i1 z a0 n,партиза0н
партизана,* p a2 r t' i1 z a0 n / a4,партиза0на
партизанам,* p a2 r t' i1 z a0 n / a4 m,партиза0нам
партизаном,* p a2 r t' i1 z a0 n / a4 m,партиза0ном
партийных,* p a1 r t' i0 j + n / y4 h,парти0йных
партнер,* p a1 r t n' o0 r,партне0р
пары,* p a0 r / y4,па0ры
пассажиров,* p a2 s - a1 zh y0 r / a4 f,пассажи0ров
пастернака,* p a2 s t y1 r n a0 k / a4,пастерна0ка
патефонной,* p a2 t' i1 f o0 + n / a4 j,патефо0нной
паузы,* p a0 u4 z / y4,па0узы
пахло,* p a0 h + l / a4,па0хло
пахнущих,* p a0 h + n + u4 sc / i4 h,па0хнущих
пачку,* a0 ch k + u4 / d',па0чку
паша,* p a0 sh / a4,па0ша
пел,* - e0 + l,пе0л
пенсионеры,* p' i1 n' s' i1 + a1 n' + e0 r / y4,пенсионе0ры
пенсионном,* p' i1 n' s' i1 + o0 n / a4 m,пенсио0нном
первая,* p' e0 r v / a4 j a4,пе0рвая
первого,* e0 r v a4 / v a4 v,пе0рвого
первое,* - e0 r v / a4 - i4,пе0рвое
первой,* p' e0 r v / a4 j,пе0рвой
первом,* p' e0 r v / a4 m,пе0рвом
первую,* p' e0 r v / u4 j u4,пе0рвую
первый,* p' e0 r v / y4 j,пе0рвый
первым,* p' e0 r v / y4 m,пе0рвым
первыми,* e0 r v y4 / m' i4 v,пе0рвыми
первых,* p' e0 r v / y4 h,пе0рвых
перебарщивай,~ p' i1 r' i1 * b a0 r sc + i4 v a4 + -,переба0рщивай
перебивали,~ p' i1 r' i1 * b' i1 + v a0 + l' / i4,перебива0ли
перебил,~ p' i1 r' i1 * b' + i0 + l,переби0л
перевез,~ p' i1 r' i1 * v' o0 s,переве0з
перевесила,~ p' i1 r' i1 * v' e0 s' + i4 + l / a4,переве0сила
перевешивайте,~ p' i1 r' i1 * v' e0 sh + y4 v a4 + j + t' i4,переве0шивайте
переводами,~ p' i1 r' i1 * v o0 d / a4 m' i4,перево0дами
переводил,~ p' i1 r' i1 * v a1 d' + i0 + l,переводи0л
переводу,~ p' i1 r' i1 * v o0 d / u4,перево0ду
переводчицей,~ p' i1 r' i1 * v o0 ch + ch i4 / c y4,перево0дчицей
переглянулись,~ p' i1 r' i1 * g l' i1 + n u0 + l' / i4 ^ s',перегляну0лись
переговаривались,~ p' i1 r' i1 * g a1 v a0 r' + i4 v a4 + l' / i4 ^ z',перегова0ривались
перед,* p' e0 r' i4 d,пе0ред
передал,~ p' e0 r' i4 * d a4 + l,пе0редал
передали,~ p' e0 r' i4 * d a4 + l' / i4,пе0редали
передалось,~ p' i1 r' i1 * d a1 + l / o0 ^ s',передало0сь
передать,~ p' i1 r' i1 * d a0 / t',переда0ть
передачи,~ p' i1 r' i1 * d a0 + ch / i4,переда0чи
переделывает,~ p' i1 r' i1 * d' e0 l + y4 v a4 / j i4 t,переде0лывает
передо,* p' e0 r' i4 d a4,пе0редо
передразнивает,~ p' i1 r' i1 * d r a0 z' n' + i4 v a4 / - i4 t,передра0знивает
переедем,~ p' i1 r' i1 * j e0 d' / i4 m,перее0дем
переедет,~ p' i1 r' i1 * j e0 d' / i4 t,перее0дет
переедете,~ p' i1 r' i1 * j e0 d' / i4 t' i4,перее0дете
переедут,~ p' i1 r' i1 * j e0 d / u4 t,перее0дут
переезжать,~ p' i1 r' i1 * j i1 zh + a0 / t',переезжа0ть
переехав,~ p' i1 r' i1 * j e0 h + a4 + f,перее0хав
переехал,~ p' i1 r' i1 * j e0 h + a4 + l,перее0хал
переехать,~ p' i1 r' i1 * j e0 h + a4 / t',перее0хать
переженились,~ p' i1 r' i1 * zh y1 n' + i0 + l' / i4 ^ s',пережени0лись
переживает,~ p' i1 r' i1 * zh y1 + v + a0 / j i4 t,пережива0ет
переживал,~ p' i1 r' i1 * zh y1 + v a0 + l,пережива0л
переживала,~ p' i1 r' i1 * zh y1 + v a0 + l / a4,пережива0ла
переживания,~ p' i1 r' i1 * zh y1 + v a0 + n' i4 j / a4,пережива0ния
переживают,~ p' i1 r' i1 * zh y1 + v + a0 / j u4 t,пережива0ют
пережил,~ p' e0 r' i4 * zh y4 + l,пе0режил
переиначивает,~ p' i1 r' i1 * i1 n a0 ch + i4 + v a4 / j i4 c,переина0чивает
переиначивать,~ p' i1 r' i1 * i1 n a0 ch + i4 + v a4 / t',переина0чивать
переиначил,~ p' i1 r' i1 * i1 n a0 ch + i4 + l,переина0чил
переключил,~ p' i1 r' i1 * k l' u1 ch + i0 + l,переключи0л
переключили,~ p' i1 r' i1 * k l' u1 ch + i0 + l' / i4,переключи0ли
переливаются,~ p' i1 r' i1 * l' i1 + v a0 / j u4 ^ c a4,перелива0ются
перемерли,~ p' e1 r' i1 * m' o0 r + l' / i4,переме0рли
перемучиться,~ p' i1 r' i1 * m u0 ch + i4 / c - ^ - a4,перему0читься
перенес,~ p' i1 r' i1 * n' o0 s,перене0с
переоделась,~ p' i1 r' i1 ~ a1 * d' e0 + l / a4 ^ s',переоде0лась
перепалки,~ p' i1 r' * i1 p a0 + l / k',перепа0лки
переписаны,~ p' i1 r' i1 * p' i0 s + a4 + n / y4,перепи0саны
переписывает,~ p' i1 r' i1 * p' i0 s + y4 v a4 / - i4 t,перепи0сывает
переплете,~ p' i1 r' i1 * p l' o0 t' / i4,перепле0те
переплетением,~ p' i1 r' i1 * p l' i1 t' + e0 n' i4 j / i4 m,переплете0нием
переполнялась,~ p' i1 r' i1 * p a1 l n' + a0 + l / a4 ^ s',переполня0лась
перепоясанный,~ p' i1 r' i1 * p a1 j a0 s + a4 n / y4 j,перепоя0санный
перепутал,~ p' i1 r' i1 * p u0 t + a4 + l,перепу0тал
перерыв,~ p' i1 r' i1 * r y0 f,переры0в
пересадки,~ p' i1 r' i1 * s a0 t + k' / i4,переса0дки
пересек,~ p' i1 r' i1 * s' o0 k,пересе0к
переселить,~ p y1 r' i1 * s' i1 l' + i0 / t',пересели0ть
переселиться,~ p' i1 r' i1 * s' i1 l' + i0 ^ c a4,пересели0ться
переспросила,~ p' i1 r' i1 ~ s * p r a1 s' + i0 + l / a4,переспроси0ла
переставляя,~ p' i1 r' i1 * s t a1 v l' + a0 + - i4,переставля0я
перестали,~ p' i1 r' i1 * s t + a0 + l' / i4,переста0ли
перестань,~ p' i1 r' i1 * s t a0 n',переста0нь
перестукиваться,~ p' i1 r' i1 * s t u0 k' + i4 v a4 ^ c a4,пересту0киваться
