Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p o1 l a1 zh + y0 + t' i4 l' n / y4 y4,4,"gtb0224,gtb0231,gtb0297,atb1556"
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p o1 l a1 zh + y0 + t' l' n / y4 i4,1,atb0321
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p u1 l a1 zh + y0 + t' i4 l' n / y4 i4,1,utb0346
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p y1 l a1 sh + y0 + t' i4 l' n / y4 i4,4,"otb0224,otb0297,otb0321,otb0346"
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p y1 l a1 zh + y0 + t' i1 l' n / y4 i4,1,ktb0330
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p y1 l a1 zh + y0 + t' i4 l' n / e4,1,ktb0346
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p y1 l a1 zh + y0 + t' i4 l' n / e4 e4,1,ktb0224
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p y1 l a1 zh + y0 + t' i4 l' n / y4,2,"ktb0321,utb0321"
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p y1 l a1 zh + y0 + t' i4 l' n / y4 i4,8,"ctb0297,otb0231,otb0330,utb0231,utb0297,utb0543,atb0224,atb0231"
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p y1 l a1 zh + y0 + t' i4 l' n / y4 j e4,1,ktb1723
положительные,*полож+и+тельн/ые,* p a2 l a1 zh + y0 + t' i4 l' n / y4 j i4,* p y1 l a1 zh + y0 + t' i4 l' n / y4 y4,5,"ktb1521,ktb1556,stb0297,utb0330,atb1723"
положительных,*полож+и+тельн/ых,* p a2 l a1 zh + y0 + t' i4 l' n / y4 h,* a2 a1 zh + y0 + t' l' n / y4 h,1,mtb0352
положительных,*полож+и+тельн/ых,* p a2 l a1 zh + y0 + t' i4 l' n / y4 h,* p a2 l a1 zh + y0 + t' i4 l' n / y4 h,1,ktb0352
положительных,*полож+и+тельн/ых,* p a2 l a1 zh + y0 + t' i4 l' n / y4 h,* p l a1 zh + y0 + t' l' n / y4 h,1,gtb0352
положительных,*полож+и+тельн/ых,* p a2 l a1 zh + y0 + t' i4 l' n / y4 h,* p o1 l a1 zh + y0 + t' e4 l' n / y4 h,1,atb0352
положительных,*полож+и+тельн/ых,* p a2 l a1 zh + y0 + t' i4 l' n / y4 h,* p y1 l a1 sh + y0 + t' i4 l' n / y4 h,1,otb0352
положительных,*полож+и+тельн/ых,* p a2 l a1 zh + y0 + t' i4 l' n / y4 h,* p y1 l a1 zh + y0 + t n / y4 h,1,utb0352
положительных,*полож+и+тельн/ых,* p a2 l a1 zh + y0 + t' i4 l' n / y4 h,* p y1 l a1 zh + y0 + t' i1 l' n / y4 h,1,ctb0352
положительных,*полож+и+тельн/ых,* p a2 l a1 zh + y0 + t' i4 l' n / y4 h,* p y1 l a1 zh + y0 + t' i4 l' n / y4 h,1,stb0352
полоская,*полоск+а+я,* p a2 l a1 s k + a0 + - i4,* p a2 l a1 s k + a0 + j,1,gta0198
полоская,*полоск+а+я,* p a2 l a1 s k + a0 + j a4,* p a2 l a1 s k + a0 + e4,1,cta0198
полоская,*полоск+а+я,* p a2 l a1 s k + a0 + j a4,* p a2 l a1 s k + a0 + i4,1,ota0198
полоская,*полоск+а+я,* p a2 l a1 s k + a0 + j a4,* p l a1 s k + a0 + a4,1,mta0198
полоская,*полоск+а+я,* p a2 l a1 s k + a0 + j a4,* p l a1 s k + a0 + j a4,1,ata0198
полоская,*полоск+а+я,* p a2 l a1 s k + a0 + j a4,* p y1 l a1 s k + a0 + e4,1,kta0198
полоская,*полоск+а+я,* p a2 l a1 s k + a0 + j a4,* p y1 l a1 s k + a0 + j e4,1,uta0198
полоская,*полоск+а+я,* p a2 l a1 s k + a0 + j i4,* p y1 l a1 s k + a0 + e4,1,sta0198
полотенце,*полот+ен+ц/е,* p a2 l a1 t' + e0 n + c / e4,* p a2 l a1 t' + e0 n + c / e4,1,mta0114
полотенце,*полот+ен+ц/е,* p a2 l a1 t' + e0 n + c / y4,* p a2 l a1 t' + e0 n + c / e4,1,cta0114
полотенце,*полот+ен+ц/е,* p a2 l a1 t' + e0 n + c / y4,* p a2 l a1 t' + e0 n + c / y4,1,ata0114
полотенце,*полот+ен+ц/е,* p a2 l a1 t' + e0 n + c / y4,* p o1 l a1 t' + e0 n + c / e4,1,kta0114
полотенце,*полот+ен+ц/е,* p a2 l a1 t' + e0 n + c / y4,* p y1 l a1 t' + e0 n + c / e4,3,"ota0114,sta0114,uta0114"
полотенце,*полот+ен+ц/е,* p a2 l a1 t' + e0 n + c / y4,* p y1 l a1 t' + e0 n + s / y4,1,gta0114
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p a2 l a1 t' + e0 n + c / e4 m,1,kta0208
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p a2 l a1 t' + e0 n + c / y4 m,2,"ota0208,ata0146"
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p a2 l a1 t' + e0 n + s / e4 m,2,"kta0146,sta0208"
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p e1 l a1 t' + e0 n + c / e4 m,1,mta0208
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p l a1 t' + e0 n + s / e4 m,1,ata0208
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p o1 l a1 t' + e0 n + c / a4,1,cta0146
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p o1 l a1 t' + e0 n + c / e4 m,1,cta0208
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p y1 l a1 t' + e0 n + c / e4 m,1,sta0146
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p y1 l a1 t' + e0 n + c / y4 m,5,"gta0146,ota0146,uta0146,uta0208,mta0146"
полотенцем,*полот+ен+ц/ем,* p a2 l a1 t' + e0 n + c / y4 m,* p y1 l a1 t' + e0 n + s / y4 m,1,gta0208
полочках,*пол+очк/ах,* p o0 l + a4 ch k / a4 h,* p o0 l + y4 ch k / y4 h,3,"cta0745,kta0745,ata0745"
полпути,~пол*пут/и,~ p o0 l * p u4 t' / i0,~ p o0 l * p u1 t' / i0,1,ktb0941
полтора,*полтор/а,* a2 l t a1 r a0 / m',* a2 l t a1 r a0 / m',1,utc0426
полтораста,*полтора*ст/а,* p a2 l t a1 r a0 * s t / a4,* p a2 l t a1 r a0 * s t / a4,1,mta0051
полтораста,*полтора*ст/а,* p a2 l t a1 r a0 * s t / a4,* p o1 l t a1 r a0 * s t / a4,2,"kta0051,uta0051"
полтораста,*полтора*ст/а,* p a2 l t a1 r a0 * s t / a4,* p y1 l t a1 r a0 * s t / a4,4,"cta0051,ota0051,sta0051,ata0051"
полтораста,*полтора*ст/а,* p a2 l t a1 r a0 * s t / a4,* p y1 l t a1 r a0 * s t / e4,1,gta0051
полуженатиков,*полу*жен+ат+ик/ов,* p a2 l u1 * zh y1 n + a0 t' + i4 k / a4 f,* p u1 l u1 * zh y1 n + a0 t' + i4 k / a4 f,1,uta0332
полуженатиков,*полу*жен+ат+ик/ов,* p o0 l u1 * zh y1 n + a0 t' + i4 k / a4 f,* p o0 l u1 * zh y1 n + a0 t' + i4 k / a4 f,1,cta0332
полуженатиков,*полу*жен+ат+ик/ов,* p o0 l u4 * zh y1 n + a0 t' + i4 k / a4 f,* p o0 l u4 * zh e1 n + a0 t' + k / e4 f,1,mta0332
полуженатиков,*полу*жен+ат+ик/ов,* p o0 l u4 * zh y4 n + a0 t' + i4 k / a4 f,* p o0 l u4 * zh n + a0 t' + k / o4 f,1,gta0332
полуженатиков,*полу*жен+ат+ик/ов,* p o1 l u1 * zh y1 n + a0 t' + i4 k / a4 f,* p o1 l u1 * zh y1 n + a0 t' + i4 k / y4 f,2,"ota0332,ata0332"
полуженатиков,*полу*жен+ат+ик/ов,* p o1 l u1 * zh y1 n + a0 t' + i4 k / a4 f,* p u1 l u1 * zh y1 n + a0 t' + i4 k / a4 f,1,sta0332
полуженатиков,*полу*жен+ат+ик/ов,* p o1 l u1 * zh y4 n + a0 t' + i4 k / a4 f,* p o1 l u1 * zh y1 n + a0 t' + i4 k / a4 f,1,kta0332
полузнакомые,*полу*знак+ом/ые,* p a2 l u1 * z n a1 k + o0 m / y4 j i4,* p u1 l u1 * z n a1 k + o0 m / y4 y4,1,cta0810
полузнакомые,*полу*знак+ом/ые,* p o1 l u1 * z n a1 k + o0 m / y4 j i4,* p o1 l u1 * z n a1 k + o0 m / y4 i4,1,ata0810
полузнакомые,*полу*знак+ом/ые,* p o1 l u1 * z n a1 k + o0 m / y4 j i4,* p u1 l u1 * z n a1 k + o0 m / y4 i4,1,kta0810
полуподвале,*полу~под*вал/е,* p o1 l u1 ~ p a1 d * v a0 l' / i4,* p o1 l u1 ~ p a1 d * v a0 l' / e4,2,"cta0936,kta0936"
полуподвале,*полу~под*вал/е,* p o1 l u1 ~ p a1 d * v a0 l' / i4,* p o1 l u4 ~ p a1 d * v a0 l' / e4,1,ata0936
полупустой,*полу*пуст/ой,* p o0 l u4 * p u1 s t / o0 j,* p o0 l u4 * p u1 s t / o0 y4,1,ata0652
полупустой,*полу*пуст/ой,* p o1 l u1 * p u1 s t / o0 j,* p o1 l u1 * p u1 s t / o0 i4,2,"cta0652,kta0652"
полутора,*полутор/а,* p a1 l u0 t a4 r / a4,* p a1 l u0 t a4 r / a4,3,"cta0332,sta0332,uta0332"
полутора,*полутор/а,* p a1 l u0 t a4 r / a4,* p a1 l u0 t r / o4,1,gta0332
полутора,*полутор/а,* p a1 l u0 t a4 r / a4,* p a1 l u0 t y1 r / a1,1,ota0332
полутора,*полутор/а,* p a1 l u0 t a4 r / a4,* p a1 l u0 t y4 r / a4,2,"kta0332,ata0332"
полутора,*полутор/а,* p a1 l u0 t a4 r / a4,* p a1 l u1 t e1 r / a1,1,mta0332
получает,*получ+а/ет,* p a2 l u1 ch + a0 / - i4 t,* p y1 l u1 ch + a0 / e4 t,1,mtb0346
получает,*получ+а/ет,* p a2 l u1 ch + a0 / j i4 t,* p o1 l u1 ch + a0 / e4 t,1,atb0346
получает,*получ+а/ет,* p a2 l u1 ch + a0 / j i4 t,* p u1 l u1 ch + a0 / e4 t,2,"gtb0346,utb0346"
получает,*получ+а/ет,* p a2 l u1 ch + a0 / j i4 t,* p u1 l u1 ch + a0 / j e4 t,1,ctb0346
получает,*получ+а/ет,* p a2 l u1 ch + a0 / j i4 t,* p y1 l u1 ch + a0 / e4 t,2,"ktb0346,stb0346"
получает,*получ+а/ет,* p a2 l u1 ch + a0 / j i4 t,* p y1 l u1 ch + a0 / i4 t,1,otb0346
получается,*получ+а/ет^ся,* p a2 l u1 ch + a0 / j i4 ^ c a4,* a1 l u1 ch a0 + / i4 c ^ a4,1,otd0059
получается,*получ+а/ет^ся,* p a2 l u1 ch + a0 / j i4 ^ c a4,* p l u1 ch + a0 / e4 ^ c y4,1,mtb0553
получается,*получ+а/ет^ся,* p a2 l u1 ch + a0 / j i4 ^ c a4,* p u1 l u1 ch + a0 / e4 ^ c e4,1,utb0553
получается,*получ+а/ет^ся,* p a2 l u1 ch + a0 / j i4 ^ c a4,* p u1 l u1 ch + a0 / e4 ^ c y4,5,"ctb0553,gtb0553,ktb0553,stb0553,atb0553"
получается,*получ+а/ет^ся,* p a2 l u1 ch + a0 / j i4 ^ c a4,* p y1 l u1 ch + a0 / e4 ^ c,1,atd0059
получается,*получ+а/ет^ся,* p a2 l u1 ch + a0 / j i4 ^ c a4,* p y1 l u1 ch + a0 / e4 ^ c a4,1,ctb1743
получается,*получ+а/ет^ся,* p a2 l u1 ch + a0 / j i4 ^ c a4,* p y1 l u1 ch + a0 / e4 i4 ^ c y4,2,"ktb1743,ktb1770"
получается,*получ+а/ет^ся,* p a2 l u1 ch + a0 / j i4 ^ c a4,* p y1 l u1 ch + a0 / i4 ^ c y4,3,"otb0553,atb1743,atb1770"
получал,*получ+а+л,* p a2 l u1 ch + a0 + l,* p a2 l u1 ch + a0 + l,2,"stb0032,atb1344"
получал,*получ+а+л,* p a2 l u1 ch + a0 + l,* p o1 l u1 ch + a0 + l,2,"gtb0032,atb0032"
получал,*получ+а+л,* p a2 l u1 ch + a0 + l,* p u1 l u1 ch + a0 + l,4,"ctb0032,ctb1344,utb0032,mtb0032"
получал,*получ+а+л,* p a2 l u1 ch + a0 + l,* p y1 l u1 ch + a0 + l,3,"ktb1344,ktb0032,otb0032"
получали,*получ+а+л/и,* p a2 l u1 ch + a0 + l' / i4,* p u1 l u1 ch + a0 + l' / e4,1,ctb1527
получали,*получ+а+л/и,* p a2 l u1 ch + a0 + l' / i4,* p y1 l u1 ch + a0 + l' / i4,2,"ktb1527,atb1527"
получалось,*получ+а+л/о^сь,* p a2 l u1 ch + a0 + l / a4 ^ s',* p y1 l u1 ch + a0 + l / y4 ^ s',3,"ctb1740,ktb1740,atb1740"
получат,*получ/ат,* p a1 l u0 ch / a4 t,* p a1 l u0 ch / e4 t,1,cta0261
получат,*получ/ат,* p a1 l u0 ch / a4 t,* p a1 l u0 ch / i4 t,2,"kta0261,ota0261"
получат,*получ/ат,* p a1 l u0 ch / a4 t,* p a1 l u0 ch / y4 t,1,gta0261
получат,*получ/ат,* p a1 l u0 ch / i4 t,* p a1 l u0 ch / i4 t,6,"otd0058,sta0261,uta0261,ata0261,atd0058,mta0261"
получать,*получ+а/ть,* p a2 l u1 ch + a0 / d',* p a2 l u1 ch + a0 / d',2,"gte0200,ste0200"
получать,*получ+а/ть,* p a2 l u1 ch + a0 / t',* b u1 l u1 ch + a0 / t',1,utb0639
получать,*получ+а/ть,* p a2 l u1 ch + a0 / t',* p a2 l u1 ch + a0 / t',2,"ktb0639,otb0639"
получать,*получ+а/ть,* p a2 l u1 ch + a0 / t',* p l u1 sc + a0 / t',1,gtb0639
получать,*получ+а/ть,* p a2 l u1 ch + a0 / t',* p o1 l u1 ch + a0 / t',3,"ctb1527,gte0059,atb1527"
получать,*получ+а/ть,* p a2 l u1 ch + a0 / t',* p o1 l u1 sc + a0 / t',1,gte0100
получать,*получ+а/ть,* p a2 l u1 ch + a0 / t',* p u1 l u1 ch + a0 / t',5,"ctb0639,stb0639,ste0059,ste0100,mtb0639"
получать,*получ+а/ть,* p a2 l u1 ch + a0 / t',* p y1 l u1 ch + a0 / t',2,"ktb1527,atb0639"
получаю,*получ+а/ю,* p a2 l u1 ch + a0 / j u4,* p a2 l u1 ch + a0 / a4,1,stb0325
получаю,*получ+а/ю,* p a2 l u1 ch + a0 / j u4,* p a2 l u1 ch + a0 / u4,1,ktb0325
получаю,*получ+а/ю,* p a2 l u1 ch + a0 / j u4,* p o1 l u1 ch + a0 / u4,1,atb0325
получаю,*получ+а/ю,* p a2 l u1 ch + a0 / j u4,* p u1 l u1 ch + a0 / a4,1,utb0325
получаю,*получ+а/ю,* p a2 l u1 ch + a0 / j u4,* p u1 l u1 ch + a0 / j u4,1,ctb0325
получаю,*получ+а/ю,* p a2 l u1 ch + a0 / j u4,* p u1 l u1 ch + a0 / o4,1,gtb0325
получаю,*получ+а/ю,* p a2 l u1 ch + a0 / j u4,* p y1 l u1 ch + a0 / a4,1,otb0325
получаю,*получ+а/ю,* p a2 l u1 ch + a0 / j u4,* p y1 l u1 ch + a0 / u4,1,mtb0325
получают,*получ+а/ют,* p a2 l u1 ch + a0 / j u4 t,* p l u1 ch + a0 / u4 t,1,ktb1971
получают,*получ+а/ют,* p a2 l u1 ch + a0 / j u4 t,* p o1 l u1 ch + a0 / e4 t,1,gte0077
получают,*получ+а/ют,* p a2 l u1 ch + a0 / j u4 t,* p u1 l u1 ch + a0 / u4 t,1,ste0077
получают,*получ+а/ют,* p a2 l u1 ch + a0 / j u4 t,* p y1 l u1 ch + a0 / j u4 t,1,ctb1971
получают,*получ+а/ют,* p a2 l u1 ch + a0 / j u4 t,* p y1 l u1 ch + a0 / u4 t,1,atb1971
полученные,*получ+енн/ые,* a1 l u0 ch i4 + n - / j y4 i4,* p a1 l u0 ch + i4 n / y4 i4,1,ctb1943
полученные,*получ+енн/ые,* p a1 l u0 ch + i4 n / y4 j i4,* p a1 l u0 ch + i4 n / y4 i4,1,atb1943
полученные,*получ+енн/ые,* p a1 l u0 ch + i4 n / y4 j i4,* p a1 l u0 ch + i4 n / y4 y4,1,ktb1943
получил,*получ+и+л,* p a2 l u1 ch + i0 + l,* p a2 l u1 ch + i0 + l,10,"ctb1835,ktc0475,ktc0555,ktc0734,ste0042,ata0451,atb1835,atb1985,atb1991,mta0451"
получил,*получ+и+л,* p a2 l u1 ch + i0 + l,* p l u1 ch + i0 + l,3,"ktb1985,ktb1991,utc0475"
получил,*получ+и+л,* p a2 l u1 ch + i0 + l,* p o1 l u1 ch + i0 + l,3,"ctb1991,ota0451,ata1052"
получил,*получ+и+л,* p a2 l u1 ch + i0 + l,* p o1 l u1 ch + o0 + l,1,gta0451
получил,*получ+и+л,* p a2 l u1 ch + i0 + l,* p u1 l u1 ch + +,1,utc0734
получил,*получ+и+л,* p a2 l u1 ch + i0 + l,* p u1 l u1 ch + i0 + l,14,"cta1052,ctb1773,ctb1985,ctc0475,ctc0606,ctc0608,ctc0734,gte0042,kta0451,ktc0606,uta0451,utc0555,utc0606,utc0608"
получил,*получ+и+л,* p a2 l u1 ch + i0 + l,* p y1 l u1 ch + i0 + l,7,"cta0451,kta1052,ktb1773,ktb1835,ktc0608,sta0451,atb1773"
получил,*получ+и+л,* p a2 l u1 ch + i0 + l,* p y1 l u1 sc + i0 + l,1,ctc0555
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p a2 l u1 ch + i0 + l / a4 ^ s',3,"ctb1963,ktb0514,atb1963"
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p a2 l u1 ch + i0 + l / y4 ^ s',3,"ctb1192,ctb1604,otb0514"
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p l u1 ch + i0 + l / y4 ^ s',1,ktb1963
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p o1 l u1 ch + i0 + l / a4 ^ s',1,mta0396
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p o1 l u1 ch + i0 + l / o4 ^ s',1,gtb0514
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p o1 l u1 ch + i0 + l / y4 ^ s',2,"gta0396,gte0207"
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p u1 l u1 ch + i0 + l / ^ s',1,mtb0514
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p u1 l u1 ch + i0 + l / a4 ^ s',1,stb0514
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p u1 l u1 ch + i0 + l / y4 ^ s',6,"cta0396,ctb0514,ktb1192,uta0396,utb0514,ata0396"
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ s',* p y1 l u1 ch + i0 + l / y4 ^ s',8,"ktb1604,kta0396,ota0396,sta0396,ste0207,atb0514,atb1192,atb1604"
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ z',* p a2 l u1 ch + i0 + l / a4 ^ z',1,atb1419
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ z',* p u1 l u1 ch + i0 + l / y4 ^ z',2,"ctb1419,ctb1766"
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ z',* p y1 l u1 ch + i0 + l / a4 ^ z',2,"ktb1419,ktb1766"
получилось,*получ+и+л/о^сь,* p a2 l u1 ch + i0 + l / a4 ^ z',* p y1 l u1 ch + i0 + l / y4 ^ s',1,atb1766
получим,*получ/им,* p a1 l u0 ch / i4 m,* p a1 l u0 ch / i4 m,3,"ctb1558,ktb1558,atb1558"
получим,*получ/им,* p a1 l u0 ch / i4 m,* p a1 l u0 ch / m,1,gte0396
получит,*получ/ит,* p a1 l u0 ch / i4 t,* p a1 l u0 ch / i4 t,7,"cta0050,gta0050,kta0050,ota0050,uta0050,ata0050,mta0050"
получит,*получ/ит,* p a1 l u0 ch / i4 t,* p a1 l u0 ch / t,1,sta0050
полушутливом,*полу*шут+лив/ом,* p a2 l u1 * sh u1 t + l' i0 v / a4 m,* p o1 l u1 * sh u1 t + l' i0 v / y4 m,1,cta1111
полчаса,*пол*час/а,* p o0 l * ch i1 s / a0,* p o0 l * ch i1 s / a0,1,cta0481
полчаса,*пол*час/а,* p o0 l * ch i1 s / a0,* p o0 l * ch i4 s / a4,1,kta0481
полчаса,*пол*час/а,* p o0 l * ch i1 s / a0,* p o0 l * ch o1 s / a0,1,gta0481
полчаса,*пол*час/а,* p o0 l * ch i4 s / a0,* p o0 l * ch i1 s / a0,2,"ctc0441,ktb1254"
полы,*пол/ы,* p a0 l / y4,* p o0 l / y4,1,mta0120
полы,*пол/ы,* p a1 l / y0,* p o0 l / y4,1,ata0120
полы,*пол/ы,* p o0 l / y4,* p o0 l / y4,6,"cta0120,gta0120,kta0120,ota0120,sta0120,uta0120"
пользовалась,*польз+ова+л/а^сь,* p o0 l' z + a4 v a4 + l / a4 ^ s',* p o0 l' s + y4 v y4 + l / y4 ^ s',1,ata0936
пользовалась,*польз+ова+л/а^сь,* p o0 l' z + a4 v a4 + l / a4 ^ s',* p o0 l' z + y4 v u4 + l / y4 ^ s',2,"cta0936,kta0936"
пользу,*польз/у,* p o0 l' z / u4,* p o0 l' s / u4,1,otd0280
пользу,*польз/у,* p o0 l' z / u4,* p o0 l' z / u4,9,"ctb1837,ctb1987,ctb1990,ktb1837,ktb1987,ktb1990,atb1837,atb1987,atb1990"
пользу,*польз/у,* p o0 l' z / u4,* p o0 l' z / y4,1,atd0280
пользуется,*польз+у/ет^ся,* p o0 l' z + u4 / - i4 ^ c a4,* p o0 l' z + y4 / y4 ^ c y4,1,mtb0681
пользуется,*польз+у/ет^ся,* p o0 l' z + u4 / j i4 ^ c a4,* p o0 l' z + u4 / i4 ^ c a4,1,atb1184
пользуется,*польз+у/ет^ся,* p o0 l' z + u4 / j i4 ^ c a4,* p o0 l' z + u4 / i4 ^ c u4,1,utb0681
пользуется,*польз+у/ет^ся,* p o0 l' z + u4 / j i4 ^ c a4,* p o0 l' z + u4 / i4 ^ c y4,2,"otb0681,atb0681"
пользуется,*польз+у/ет^ся,* p o0 l' z + u4 / j i4 ^ c a4,* p o0 l' z + u4 / u4 ^ c a4,2,"ctb1184,ktb1184"
пользуется,*польз+у/ет^ся,* p o0 l' z + u4 / j i4 ^ c a4,* p o0 l' z + u4 / u4 ^ c u4,2,"gtb0681,stb0681"
пользуется,*польз+у/ет^ся,* p o0 l' z + u4 / j i4 ^ c a4,* p o0 l' z + u4 / u4 ^ s u4,1,ktb0681
пользуется,*польз+у/ет^ся,* p o0 l' z + u4 / j i4 ^ c a4,* p o0 l' z + u4 / y4 ^ c u4,1,ctb0681
полюбил,~по*люб+и+л,~ p a2 * l' u1 b' + i0 + l,~ p o1 * l' u1 b' + i0 + l,1,atb1007
полюбил,~по*люб+и+л,~ p a2 * l' u1 b' + i0 + l,~ p y1 * l' u1 b' + i0 + l,2,"ctb1007,ktb1007"
поля,*пол/я,* p o0 l' / a4,* p o0 l' / a4,4,"cta0604,cta0605,ctb2041,ktb2041"
поля,*пол/я,* p o0 l' / a4,* p o0 l' / e4,5,"kta0604,kta0605,ata0604,ata0605,atb2041"
помедленнее,~по*медл+енн+ее,~ p a1 * m' e0 d l' + i4 n' + i4 j i4,~ p a1 * m' e0 d l' + e4 n' + i4 i4,1,atb0895
помедленнее,~по*медл+енн+ее,~ p a1 * m' e0 d l' + i4 n' + i4 j i4,~ p a1 * m' e0 d l' + i4 n' + i4 e4,1,ctb0895
помедленнее,~по*медл+енн+ее,~ p a1 * m' e0 d l' + i4 n' + i4 j i4,~ p a1 * m' e0 d l' + i4 n' + i4 e4 e4,1,ktb0895
помешала,~по*меш+а+л/а,~ p a2 * m' i1 sh + a0 + l / a4,~ p a2 * m' e1 sh + a0 + l / a4,1,stb0344
помешала,~по*меш+а+л/а,~ p a2 * m' i1 sh + a0 + l / a4,~ p a2 * m' i1 sh + a0 + l / a4,2,"atb0344,mtb0344"
помешала,~по*меш+а+л/а,~ p a2 * m' i1 sh + a0 + l / a4,~ p e1 * m' e1 sh + a0 + l / a4,1,ste0237
помешала,~по*меш+а+л/а,~ p a2 * m' i1 sh + a0 + l / a4,~ p e1 * m' i1 sh + a0 + l / a4,1,ctb0344
помешала,~по*меш+а+л/а,~ p a2 * m' i1 sh + a0 + l / a4,~ p u1 * m' i1 sh + a0 + l / a4,1,utb0344
помешала,~по*меш+а+л/а,~ p a2 * m' i1 sh + a0 + l / a4,~ p y1 * m' e1 sh + a0 + l / a4,2,"gtb0344,ktb0344"
помешала,~по*меш+а+л/а,~ p a2 * m' i1 sh + a0 + l / a4,~ p y1 * m' i1 sh + a0 + l / a4,2,"gte0237,otb0344"
помещались,~по*мещ+а+л/и^сь,~ p a2 * m' i1 sc + a0 + l' / i4 ^ s',~ p y1 * m' i1 sc + a0 + l / e4 ^ s',1,kta0745
помещались,~по*мещ+а+л/и^сь,~ p a2 * m' i1 sc + a0 + l' / i4 ^ s',~ p y1 * m' i1 sc + a0 + l' / i4 ^ s,1,cta0745
помещались,~по*мещ+а+л/и^сь,~ p a2 * m' i1 sc + a0 + l' / i4 ^ s',~ p y1 * m' i1 sc + a0 + l' / i4 ^ s',1,ata0745
помещение,~по*мещ+ени/е,~ p a2 * m' i1 sc + e0 n' i4 j / i4,~ p a2 * m' i1 sc + e0 n' i4 / i4,1,cta1139
помещении,~по*мещ+ени/и,~ p a2 * m' i1 sc + e0 n' i4 / i4,~ p a2 * m' i1 sc + e0 n' i4 / i4,1,ctb1806
помещении,~по*мещ+ени/и,~ p a2 * m' i1 sc + e0 n' i4 / i4,~ p y1 * m' i1 sc + e0 n' i4 / i4,4,"ktb1806,ktc1324,utc1324,atb1806"
помещении,~по*мещ+ени/и,~ p a2 * m' i1 sc + e0 n' i4 / i4,~ p y1 * m' i1 sc + e0 n' i4 / y4,1,ctc1324
помещик,~по*мещ+ик,~ p a1 * m' e0 sc + i4 k,~ p a1 * m' e0 sc + i4 k,3,"cta1095,kta1095,ata1095"
помидор,*помидор,* p a2 m' i1 d o0 r,* p u1 m' i1 d o0 r,1,ata0710
помидор,*помидор,* p a2 m' i1 d o0 r,* p y1 m' i1 d o0 r,5,"cta0710,cta0717,kta0710,kta0717,ata0717"
помидора,*помидор/а,* p a2 m' i1 d o0 r / a4,* p a1 m' i1 d o0 r / a4,1,cta0697
